temperature,Humidity,has_wind,weather_now
28,54,7,Partly Cloudy
28,54,6,Partly Cloudy
28,54,7,Partly Cloudy
28,54,6,Partly Cloudy
28,54,6,Partly Cloudy
27,61,6,Partly Cloudy
27,61,7,Partly Cloudy
27,61,5,Partly Cloudy
26,65,3,Partly Cloudy
27,61,2,Partly Cloudy
27,61,2,Partly Cloudy
26,65,3,Partly Cloudy
26,69,2,Mostly Cloudy
26,69,2,Mostly Cloudy
27,70,2,Mostly Cloudy
27,70,3,Mostly Cloudy
28,62,6,Mostly Cloudy
28,66,6,Mostly Cloudy
29,62,6,Mostly Cloudy
29,62,3,Mostly Cloudy
29,62,5,Mostly Cloudy
31,55,5,Mostly Cloudy
31,52,3,Mostly Cloudy
31,52,3,Mostly Cloudy
32,49,3,Mostly Cloudy
32,49,2,Mostly Cloudy
33,46,3,Mostly Cloudy
33,46,6,Mostly Cloudy
34,44,5,Partly Cloudy
33,49,5,Partly Cloudy
33,49,6,Partly Cloudy
32,52,2,T-Storm
28,79,12,T-Storm
28,74,9,Partly Cloudy
28,74,7,Showers in the Vicinity
28,74,7,Light Rain Shower
27,74,3,Light Rain Shower
27,79,3,Partly Cloudy
27,79,3,Partly Cloudy
27,79,5,Partly Cloudy
28,74,3,Partly Cloudy
28,74,6,Partly Cloudy
28,79,5,Partly Cloudy
27,84,1,Partly Cloudy
27,84,1,Partly Cloudy
28,74,5,Partly Cloudy
28,70,3,Partly Cloudy
28,70,5,Partly Cloudy
