0,1,2,3
27,79,7,Partly Cloudy
27,79,7,Partly Cloudy
27,74,8,Partly Cloudy
27,74,9,Partly Cloudy
27,74,8,Partly Cloudy
27,79,9,Partly Cloudy
27,74,9,Partly Cloudy
26,78,8,Partly Cloudy
26,78,7,Partly Cloudy
26,78,7,Partly Cloudy
25,83,5,Partly Cloudy
25,89,5,Partly Cloudy
24,94,3,Partly Cloudy
25,89,3,Fair
26,83,5,Partly Cloudy
27,79,3,Partly Cloudy
28,70,3,Partly Cloudy
29,66,6,Partly Cloudy
31,55,9,Partly Cloudy
32,52,7,Partly Cloudy
32,49,5,Partly Cloudy
33,46,9,Fair
34,44,8,Partly Cloudy
34,41,9,Partly Cloudy
36,34,10,Partly Cloudy
35,36,12,Partly Cloudy
36,34,9,Partly Cloudy
36,32,7,Partly Cloudy
36,34,7,Partly Cloudy
35,39,9,Partly Cloudy
36,37,12,Partly Cloudy
35,41,10,Partly Cloudy
34,41,12,Partly Cloudy
33,43,9,Partly Cloudy
32,46,12,Fair
31,52,12,Fair
30,55,9,Fair
30,55,8,Fair
29,58,7,Fair
29,58,9,Fair
29,58,7,Fair
28,62,9,Fair
28,66,8,Fair
28,66,9,Fair
28,66,6,Fair
28,66,6,Partly Cloudy
28,66,9,Partly Cloudy
28,70,8,Partly Cloudy
